Company Name,Company Short,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
"FuelCell Energy, Inc.",FCEL,8.59,8.20,9.30 x 2900,9.39 x 3200,7.94 - 9.35,1.58 - 29.44,"39,506,289","32,511,211",2.995B,5.27,N/A,-0.40,"Jun 09, 2021 - Jun 13, 2021",N/A (N/A),N/A,11.96
Wells Fargo & Company,WFC,42.54,42.24,43.15 x 1200,43.18 x 1100,41.76 - 43.35,20.76 - 44.40,"27,261,672","33,507,058",179.062B,1.32,29.70,1.46,"Jul 13, 2021",0.40 (0.94%),"Feb 03, 2021",47.47
"Riot Blockchain, Inc.",RIOT,38.56,36.99,39.31 x 1300,38.99 x 1100,36.06 - 42.07,1.02 - 79.50,"26,801,740","28,836,967",3.475B,4.55,N/A,-0.30,"May 09, 2021 - May 13, 2021",N/A (N/A),"Oct 11, 2017",64.00
Carnival Corporation & plc,CCL,25.72,25.65,27.17 x 1300,27.18 x 3200,25.25 - 27.35,11.00 - 30.63,"31,354,125","43,308,450",32.537B,2.36,N/A,-13.02,"Jul 07, 2021 - Jul 11, 2021",N/A (N/A),"Feb 19, 2020",26.64
New Oriental Education & Technology Group Inc.,EDU,16.16,15.80,16.46 x 1100,16.55 x 1400,15.79 - 16.63,10.84 - 19.97,"14,839,468","14,113,398",27.992B,0.90,68.54,0.24,"Apr 19, 2021",N/A (N/A),"Aug 31, 2017",20.10
Nokia Corporation,NOK,4.1500,4.1400,4.1700 x 36900,4.2200 x 317700,4.1300 - 4.2200,3.2100 - 9.7900,"24,552,147","93,969,643",24.047B,0.53,N/A,-0.5420,N/A,N/A (N/A),"Jul 28, 2019",4.90
Petróleo Brasileiro S.A. - Petrobras,PBR,8.33,8.22,8.34 x 43500,8.37 x 41800,8.19 - 8.35,5.51 - 11.89,"16,013,242","40,825,812",55.324B,1.54,42.50,0.20,N/A,0.38 (4.56%),"Apr 14, 2021",11.20
Tencent Music Entertainment Group,TME,16.99,17.03,18.05 x 1800,18.08 x 1200,16.96 - 18.20,10.30 - 32.25,"22,774,034","33,897,896",30.602B,1.11,47.45,0.38,"May 09, 2021 - May 13, 2021",N/A (N/A),N/A,29.17
"Advanced Micro Devices, Inc.",AMD,79.27,78.99,81.50 x 800,81.55 x 1300,78.86 - 81.66,48.42 - 99.23,"34,714,345","43,476,422",99.124B,2.06,39.54,2.06,"Apr 26, 2021",N/A (N/A),"Apr 26, 1995",102.40
"Tesla, Inc.",TSLA,718.99,704.77,742.20 x 800,741.00 x 2200,698.00 - 744.84,136.61 - 900.40,"31,215,514","33,694,322",714.247B,2.01,"1,162.69",0.64,"Apr 25, 2021",N/A (N/A),N/A,650.19
Itaú Unibanco Holding S.A.,ITUB,4.9000,4.8700,4.8800 x 42300,4.8800 x 36900,4.8200 - 4.8950,3.4800 - 6.3700,"10,938,749","42,891,664",45.177B,1.08,14.01,0.3470,N/A,0.10 (2.00%),"May 02, 2021",6.46
ViacomCBS Inc.,VIAC,37.92,37.65,41.64 x 1000,41.68 x 3100,37.54 - 40.91,14.66 - 101.97,"52,142,812","39,323,754",25.857B,1.73,N/A,N/A,"May 05, 2021",0.96 (2.53%),"Mar 11, 2021",54.48
Plug Power Inc.,PLUG,25.25,24.56,27.01 x 900,27.10 x 1400,23.91 - 27.14,3.79 - 75.49,"39,428,377","34,861,220",16.004B,1.54,N/A,-1.58,"May 04, 2021 - May 09, 2021",N/A (N/A),N/A,55.14
"Clover Health Investments, Corp.",CLOV,8.62,8.52,9.02 x 1300,9.10 x 3000,8.07 - 9.29,6.31 - 17.45,"23,360,702","24,272,348",3.677B,N/A,N/A,N/A,N/A,N/A (N/A),N/A,12.67
"Altria Group, Inc.",MO,47.19,47.18,47.55 x 2200,47.69 x 1400,47.18 - 48.26,35.02 - 52.59,"13,467,257","10,237,445",88.127B,0.68,19.83,2.40,"Apr 28, 2021",3.44 (7.29%),"Mar 23, 2021",52.63
"United Airlines Holdings, Inc.",UAL,50.30,49.88,51.52 x 900,51.68 x 1300,48.90 - 51.89,18.18 - 63.70,"21,085,785","17,095,748",16.781B,1.70,N/A,-22.68,"Jul 18, 2021 - Jul 22, 2021",N/A (N/A),"Jan 06, 2008",59.72
Palantir Technologies Inc.,PLTR,21.78,21.65,22.68 x 1800,22.70 x 4000,21.43 - 22.64,8.90 - 45.00,"41,749,536","88,051,922",41.238B,N/A,N/A,N/A,N/A,N/A (N/A),N/A,27.00
Bank of America Corporation,BAC,38.08,37.75,38.64 x 2200,38.68 x 3100,37.41 - 38.78,20.10 - 40.38,"37,852,603","54,757,556",332.594B,1.58,16.62,2.33,"Jul 13, 2021",0.72 (1.89%),"Mar 03, 2021",42.78
American Airlines Group Inc.,AAL,20.37,20.00,21.12 x 1200,21.15 x 4000,19.64 - 21.03,8.25 - 26.09,"49,376,367","51,371,154",13.475B,1.93,N/A,-18.36,"Apr 21, 2021",N/A (N/A),"Feb 03, 2020",17.75
